Deal Date,Deal Sub-Category,Acquirer Company / Merger Participant 1,Target Company / Merger Participant 2,Deal Value,Deal Headline
7/22/2002,100% Acquisition,U.S. HealthWorks Medical Group,Gold Coast Medical Group,,U. S. HealthWorks Acquires Gold Coast Medical Group,
7/16/2002,100% Acquisition,IBEX Technologies Inc.,HDM Diagnostics &amp; Imaging Inc.,,Ibex Technologies-HDM Diagnostics & Imaging transaction closes,
7/12/2002,100% Acquisition,Nobel Biocare Holding AG,Nobel Biocare AB,,Nobel Biocare Holding Acquires Nobel Biocare AB,
7/10/2002,100% Acquisition,Merck KGaA,Laboratoires Richelet,,Merck KGaA Acquires Laboratoires Richelet in France,
7/10/2002,100% Acquisition,Bayer Pharma AG (formerly Bayer Schering Pharma AG),MAP Medical Technologies Oy,,Schering Acquires Radiopharmaceutical company MAP Medical Technologies Oy,
12/5/2000,Asset Purchase,Lavipharm Corp.,Phasex Corporation - Supercritical Fluids (SCF) Technology,,Lavipharm laboratories Acquires Exclusive Rights to Phasex Corporation,
7/3/2002,100% Acquisition,Statprobe,Celeris Corporation,,Celeris Corporation completes sale of company to STATPROBE,
7/1/2002,100% Acquisition,"Harvard Bioscience, Inc.",Walden Precision Apparatus Ltd,,Harvard Bioscience Announces the Acquisition of Walden Precision Apparatus,
7/1/2002,100% Acquisition,"PediaMed Pharmaceuticals, Inc.",Propst Pharmaceuticals,,PediaMed Pharmaceuticals Acquires Assets Of Propst Pharmaceuticals,
6/28/2002,100% Acquisition,"Pharmaceutical Product Development, Inc.",ProPharma Pte Ltd.,,PPD Acquires ProPharma,
12/4/2000,Asset Purchase,Novartis Generics,BASF AG - Generics Business - Europe,101.00 ,Novartis acquires European Generics Business of BASF Pharma,
12/1/2000,Majority Acquisition,Ferro Corporation,"Pfanstiehl Laboratories, Inc.",,Ferro acquires Pfanstiehl Laboratories,
6/28/2002,100% Acquisition,Merge Technologies Inc.,"eFilm Medical, Inc.",,Merge Technologies Closes Acquisition Of eFilm Medical,
6/27/2002,100% Acquisition,pION Inc.,Delphian Technology Inc.,,pION INC acquires Delphian Technology IN-SITU Fiber Optic Dissolution System,
6/27/2002,100% Acquisition,Johnson &amp; Johnson,Obtech Medical AG,,Ethicon Endo-Surgery Acquires Swedish Adjustable Gastric Band Device Used in Surgery for the Morbidly Obese,
6/26/2002,100% Acquisition,"SciQuest, Inc.","HigherMarkets, Inc.",,SciQuest Acquires HigherMarkets to Expand Market Opportunity for Procurement & Chemical Tracking Software,
11/30/2000,Majority Acquisition,Cytyc Corporation,"Acu-Pak, Inc.",,Cytyc Corporation acquires Acu-pak,
11/29/2000,Asset Purchase,COGEMA,"Canberra Industries, Inc.",170.00 ,Packard BioScience Agrees To Sell Canberra Industries To COGEMA For $170 Million,
6/26/2002,100% Acquisition,Institute of Drug Technology Australia Limited,CMAX Pty Ltd,,Institute of Drug Technology Australia Completes CMAX Acquisition,
11/28/2000,--,--,IGT Pharma Inc.|NTB Neurotrophic Bioscience Inc.,,IGT Pharma signs agreement and mails circular to formalize combination transaction with NTB Neurotrophic Bioscience Inc.,
11/27/2000,Majority Acquisition,Prokaria,Technological Institute of Iceland,,Prokaria acquires Strain Collection from IceTec,
11/27/2000,Majority Acquisition,Reckitt Benckiser Group plc,P.T.Holdiko Perkasa,,Reckitt Benckiser to acquire Indonesian Pest Control Business,
6/25/2002,100% Acquisition,Aros Corporation,"ReGen Biologics, Inc.",,Aros Completes Acquisition of ReGen Biologics,
6/21/2002,100% Acquisition,ratiopharm GmbH,Pulmotec GmbH,,Ratiopharm Plans Introduction of Innovative Asthma Products,
11/21/2000,Majority Acquisition,Molecular Devices Corporation,Nihon Molecular Devices,,Molecular Devices announces agreement to acquire Japanese Distributor,
11/21/2000,Asset Purchase,Cerner Corporation,ADAC Laboratories - Health Care Information Systems (HCIS) Business,6.00 ,Cerner Corporation acquires health care information systems business of ADAC Laboratories,
11/21/2000,--,--,Radclin Medical Imaging|Sonic Healthcare Limited,,Radclin Medical Imaging to merge with Sonic Healthcare,
11/20/2000,--,--,"Applied Medical Devices, Inc|NISCO Systems, Inc",,Applied Medical Devices and NISCO Systems sign agreement to merge,
6/21/2002,100% Acquisition,"Medical Action Industries, Inc.",MD Industries,,Medical Action Industries Acquires MD Industries,
11/20/2000,Majority Acquisition,Smith &amp; Nephew plc,Orthopaedic Biosystems Ltd Inc,25.60 ,Smith & Nephew to acquire Orthopaedic Biosystems,
6/19/2002,100% Acquisition,"Apogent Technologies, Inc. (formerly Sybron International Corp.)","TFO, Inc.",,Apogent Technologies Announces Acquisition of TFO and Updated Business Outlook,
11/17/2000,--,--,"Agenus Inc. (formerly Antigenics, Inc.)|Aquila Biopharmaceuticals, Inc.",40.00 ,Antigenics completes Aquila Biopharmaceuticals merger creating Preeminent Immunotherapy Company,
11/17/2000,Majority Acquisition,The Dow Chemical Company,"Collaborative BioAlliance, Inc.|Collaborative Smithfield Corp.",,Dow Chemical Company acquires biotechnology services division from The Collaborative Group,
11/16/2000,Asset Purchase,Sepragen Corporation,"Process Equipment, Inc. - Assets",,Sepragen Announces Letter of Intent to Acquire Assets of Process Equipment,
6/13/2002,100% Acquisition,"Pharmaceutical Product Development, Inc.","Complete Software Solutions, Inc.",,PPD Acquires Complete Software Solutions,
6/12/2002,100% Acquisition,"The MedTech Group, Inc.",AutoTek inWest Haven,,The MedTech Group expands automation capabilities with acquisition of AutoTek,
11/15/2000,Asset Purchase,D-Pharm Limited,"Neoprobe Israel, Ltd. - Plant",,D-Pharm Acquires Proscess Development and Scale-up Plant,
6/11/2002,100% Acquisition,Curative Health Services Inc,"Infinity Infusion Care, Ltd.",,Curative Health Services announces acquisition of Infinity Infusion Care,
6/11/2002,100% Acquisition,"ONUX Medical, Inc",Shape Medical Inc.,,ONUX Medical Announces The Acquisition Of Shape Medical,
6/10/2002,100% Acquisition,"Solutia, Inc.",Axio Research Corporation,,Solutia Acquires Axio Research Corporation,
11/13/2000,Majority Acquisition,"Electronic Medical Distribution, Inc","BioShield Technologies, Inc.",,Electronic Medical Distribution Signs Letter Of Intent To Acquire Subsidiary From Parent Company BioShield Technologies,
6/10/2002,100% Acquisition,"Charles River Laboratories International, Inc.",Biological Laboratories Europe Ltd.,,Charles River Laboratories acquires Biological Laboratories Europe,
6/7/2002,100% Acquisition,"MacroGenics, Inc.","Eliance, Inc.",,MacroGenics acquires Eliance,
6/5/2002,100% Acquisition,"Matria Healthcare, Inc.",MarketRing.com,,Matria Healthcare announces agreement to acquire MarketRing,
5/31/2002,100% Acquisition,Nutra Pharma Corporation,Bio Therapeutics Inc.,,Nutra Pharma signs definitive agreement to acquire  Bio Therapeutics,
11/10/2000,Asset Purchase,"Camtronics Medical Systems, Inc.",ADAC Laboratories - Cardiology Systems Group,,Camtronics Medical Systems acquires Cardiology Systems Group of ADAC Laboratories,
11/10/2000,Asset Purchase,"BioCarta, Inc.",Anderson Unicom Group - Webalog System Rights,,BioCarta Acquires Anderson Unicom Group Webalog System and Technology,
11/9/2000,--,--,CardioGene AG|Intracardia,,CardioGene AG And Intracardia merge to form Transatlantic Company to develop novel Heart Disease and Cell Transplantation Therapies,
5/31/2002,100% Acquisition,Coloplast A/S,AMOENA A/S,,Coloplast acquires AMOENA in Denmark,
5/23/2002,100% Acquisition,Medex Inc,"Inhalation Plastics, Inc.",,Medex Completes Acquisition of Inhalation Plastics,
5/21/2002,100% Acquisition,Biotrace International PLC,Toucan Technologies Inc.,,Biotrace Announces Strategic Acquisition of US Healthcare Distributor to Strengthen Biotrace’s Position in the Americas,
11/6/2000,--,--,AstraZeneca PLC - Agricultural Business|Novartis AG - Agricultural Business,,Novartis and AstraZeneca merge agriculture units to form Syngenta,
5/14/2002,100% Acquisition,Bruker AXS GmbH,MAC Science Ltd.,,Bruker AXS Completes Acquisition Of MAC Science,
5/13/2002,100% Acquisition,Eduverse.Com,GeneMax Pharmaceuticals Inc.,,Eduverse.Com Announces Biotechnology Acquisition -  GeneMax Pharmaceuticals Inc.,
5/8/2002,100% Acquisition,Transfusion Management Services Inc,BioCellutions,,Transfusion Management Services Announces the Acquisition of the Laboratory Division of Response Oncology,
5/2/2002,100% Acquisition,"Alara, Inc.",PhorMax Inc.,,Alara Acquires Computed Radiography Manufacturer PhorMax,
5/2/2002,100% Acquisition,Personal Chemistry AB,ESyTech AB,,Personal Chemistry Acquires Esytech AB,
11/1/2000,Asset Purchase,Mycogen Seeds,"Cargill, Incorporated - Hybrid Seeds",,Mycogen Seeds closes deal with Cargill Incorporated,
5/2/2002,100% Acquisition,AB Enzymes,Gamma Chemie GmbH,,AB Enzymes acquires Gamma Chemie GmbH,
5/1/2002,100% Acquisition,"Coventry Health Care, Inc.",NewAlliance Health Plan,,Coventry Health Care Completes Acquisition of NewAlliance Health Plan,
5/1/2002,100% Acquisition,Molecular Products Ltd,CChem,,Molecular Products Acquires Leading USA Chemicals Manufacturer,
4/25/2002,100% Acquisition,"ALD Services, Inc.","MicroIslet, Inc.",,ALD Services And MicroIslet Announce Completion Of Acquisition,
4/19/2002,100% Acquisition,BioStratum Incorporated,BioCrine AB,,BioStratum Raises $20 Million in Private Financing; Makes Strategic Acquisition of BioCrine AB,
10/31/2000,Minority Acquisition,"Harbor BioSciences, Inc. (formerly Hollis-Eden Pharmaceuticals)","Aeson Therapeutics, Inc.",,Harbor Biosciences acquires 21% stake in Aeson Therapeutics,
4/17/2002,100% Acquisition,STADA Arzneimittel AG,Bayvit S.A.,,Bayer divests Generics Business in Spain,
10/27/2000,Asset Purchase,The Tapiola Insurance Group,"Instrumentarium Corp. - Office and Warehouse Buildings - Espoo, Finland",,"Instrumentarium Sells A Major Part Of Its Real Estate In Espoo, Finland To The Tapiola Insurance Group",
4/15/2002,100% Acquisition,"Cardinal Health, Inc.",Magellan Laboratories Incorporated,,Cardinal Health acquires Magellan Laboratories,
4/10/2002,100% Acquisition,"Bio-Rad Laboratories, Inc.",Quantase Ltd.,,Bio-Rad Announces Acquisition of Quantase,
4/9/2002,100% Acquisition,GE Healthcare,"Visualization Technology, Inc",,"GE Medical Systems Completes Acquisition of Visualization Technology, Inc",
4/5/2002,100% Acquisition,"Duravest, Inc.","Cardio Management Systems, Inc.",,DuraVest Enters into an Agreement with Cardio Management Systems,
4/3/2002,100% Acquisition,GE Healthcare,Idel Medizintechnik GmbH,,GE Medical systems information technologies Acquires Medical monitoring equipment distributor in Germany,
10/23/2000,Majority Acquisition,Sanofi-Synthelabo S.A.,"Sanofi Lilly Oncology, LLC",,Sanofi-Synthelabo acquires remaining stake in Sanofi Lilly Oncology,
4/3/2002,100% Acquisition,National Dentex Corporation,Fox Dental Laboratory,,National Dentex Corporation Announces Acquisition of Fox Dental Laboratory,
10/19/2000,Asset Purchase,Allegiance Healthcare Corp.,"Oak Medical Industries, LLC - Ni-Med Kit Manufacturing Business",,Allegiance Healthcare to acquire Ni-Med kit manufacturing business from Oak Medical Industries,
10/18/2000,Majority Acquisition,GE Healthcare,Parallel Design Inc,,GE Medical Systems to acquire Parallel Design-A Premier Provider of Ultrasound Transducers,
4/1/2002,100% Acquisition,"Pharmaceutical Product Development, Inc.","Piedmont Research Center II, Inc",,PPD Acquires Piedmont Research Center,
3/27/2002,100% Acquisition,"Galileo Laboratories, Inc.",Phytera Ltd.,,Galileo Laboratories Acquires Phytera and Marine Libraries of Phytera,
10/16/2000,Majority Acquisition,PAREXEL International Corporation,FARMOVS,3.00 ,PAREXEL International acquires FARMOVS,
10/16/2000,Majority Acquisition,Bayer AG,CSM Group,,H.C. Starck acquires CSM Group,
3/22/2002,100% Acquisition,Canadian Medical Laboratories Limited,DC DiagnostiCare Inc.,,Canadian Medical Laboratories Completes Acquisition Of All Outstanding DC DiagnostiCare Shares,
3/20/2002,100% Acquisition,Ardent Health Services LLC,St. Joseph Health System,,Catholic Health Initiatives Signs Letter of Intent with Ardent Health Services,
3/20/2002,100% Acquisition,GE Healthcare,ViewPoint Bildverarbeitung GmbH,,GE Medical Systems Acquires ViewPoint,
3/20/2002,100% Acquisition,Mentor Corporation,Byron Medical Inc,,Mentor Acquires Liposuction Business,
10/6/2000,Asset Purchase,"Dnaprint Genomics, Inc.","Orchid Cellmark, Inc.",,Orchid and DNAPrint Announce Purchase of SNPstream 25k Genotyping System,
10/5/2000,--,--,DeveloGen AG|HepaVec AG,,DeveloGen completes merger with HepaVec,
3/19/2002,100% Acquisition,"Alere, Inc. (formerly Inverness Medical Innovations, Inc.)","IVC Industries, Inc",,Inverness Medical Innovations Completes Acquisition Of IVC Industries,
10/5/2000,Minority Acquisition,Trinity Biotech Plc,HiberGen,1.30 ,Trinity Biotech Announces Investment In Genomics Company,
10/4/2000,Minority Acquisition,aap Implantate AG,Gesellschaft fur Elektro-Osteotherapie GmbH,,aap Implantate AG Acquires 30% stake in Gesellschaft für Elektro-Osteotherapie,
3/18/2002,100% Acquisition,"Ortho-Clinical Diagnostics, Inc.","Micro Typing Systems, Inc.",,Ortho-Clinical Diagnostics Announces Acquisition of Micro Typing Systems,
3/14/2002,100% Acquisition,"Deltagen, Inc.","XenoPharm, Inc.",,Deltagen acquires XenoPharm,
3/12/2002,100% Acquisition,Essential Therapeutics Inc.,Maret Pharmaceuticals,,Essential Therapeutics Completes Acquisition of  Maret Pharmaceuticals,
3/11/2002,100% Acquisition,Univec Inc,"Thermal Waste Technologies, Inc.",,UNIVEC Corporation Acquires Thermal Waste Technologies,
3/8/2002,100% Acquisition,Cardiome Pharma Corp.,"Paralex, Inc.",,Cardiome Announces Completion Of Acquisition Of Paralex And Public Offering,
3/4/2002,100% Acquisition,General Electric Company,iPath,,GE Medical Systems completes acquisition of iPath,
10/2/2000,Majority Acquisition,Packard BioScience Company,GSLI Life Sciences,120.00 ,Packard BioScience acquires GSLI Life Sciences,
10/2/2000,Asset Purchase,Meldex International Plc (formerly BioProgress Plc),"Trutona International, Inc. - Assets",1.50 ,"BioProgress Acquires Trutona International Water Dispersible and Biodegradable Products, Sells License to Consolidated EcoProgress",
3/4/2002,100% Acquisition,"Meridian Co., Ltd.","Meridian America Medicals, Inc.",,Meridian acquires Meridian America Medicals,
2/26/2002,100% Acquisition,CEFAR Medical AB,S.A. Saint Cloud International,,Swedish Medtech Company CEFAR Medical Acquires French S.A. Saint Cloud International,
10/1/2000,Asset Purchase,"Triangle Biomedical Sciences, Inc.","Intelligent Medical Imaging, Inc. - Assets",,Triangle Biomedical Sciences acquires the Assets of IMI,
10/1/2000,Majority Acquisition,"Health Management Associates, Inc.",Davis Medical Center,55.00 ,Health Management Associates acquires Davis Medical Center,
9/30/2000,Majority Acquisition,Bausch &amp; Lomb Incorporated,Woehlk Contact Lens GmbH,26.20 ,Bausch & Lomb acquires Woehlk Contact Lens GmbH from Carl Zeiss,
9/30/2000,Majority Acquisition,"GTC Biotherapeutics, Inc. (formerly Genzyme Transgenics Corp.)","SMI Genzyme, Ltd.",11.20 ,GTC Biotherapeutics acquires remaining stake in SMI Genzyme from Sumitomo,
9/29/2000,--,--,"Epitope, Inc.|STC Technologies, Inc",260.00 ,Epitope and STC Technologies merger approved,
9/29/2000,Asset Purchase,PAREXEL International Corporation,Glaxo Wellcome plc - Clinical Pharmacology Unit - UK,,PAREXEL acquires clinical pharmacology unit of Glaxo Wellcome,
9/29/2000,Majority Acquisition,Warner Chilcott Plc (formerly Galen Holdings Plc),Warner Chilcott Plc,,Galen Holdings acquires Warner Chilcott,
2/21/2002,100% Acquisition,"SciQuest, Inc.","Textco, Inc.",,"SciQuest Acquires Textco, a Leading Provider of Software Solutions for Molecular Biologists",
2/15/2002,100% Acquisition,"Varian, Inc.",Nalorac Corporation,,"Varian acquires Specialized NMR Probe Company, Nalorac Corporation",
9/25/2000,Asset Purchase,Gambro AB,St. Joseph's Hospital - Dialysis Services Assets,,Gambro to acquire dialysis services assets of St. Joseph's Hospital,
2/15/2002,100% Acquisition,Sectra AB,Pronosco A/S,,Sectra Acquires the Danish company Pronosco,
2/14/2002,100% Acquisition,GE Healthcare,"Visualization Technology, Inc",,"GE Medical Systems to Acquire Visualization Technology, Inc",
9/22/2000,Asset Purchase,"Z-KAT, Inc.",Marconi Medical Systems - Image Guided Surgery Business,,Marconi Medical Systems Sells Assets Of Image Guided Surgery Business To Z-KAT,
9/21/2000,Asset Purchase,"Fujifilm Diosynth Biotechnologies UK Limited (formerly MSD Biologics (UK), Ltd.)","Hybridon, Inc. - DNA Manufacturing Business",15.00 ,Avecia Biologics acquires DNA manufacturing business of Hybridon,
2/14/2002,100% Acquisition,GE Healthcare,"Surgical Insights, Inc",,GE Medical Systems Acquires Surgical Insights,
9/20/2000,Asset Purchase,"America Service Group, Inc",Bergen Brunswig Corporation - Stadtlanders Corrections Division,6.30 ,America Service Group Purchases Stadtlanders Corrections Division From Bergen Brunswig For $6.25 Million Plus Purchase Of Inventory,
2/8/2002,100% Acquisition,"Otix Global, Inc. (formerly Sonic Innovations, Inc.)",Omni-Resound ApS,,Sonic Innovations Acquires Omni-Resound ApS,
9/18/2000,Asset Purchase,"Hologic, Inc.",Trex Medical Corp. - Business Assets - US,,Hologic Announces Completion Of Acquisition Of Trex Medicals U.S. Assets,
9/18/2000,Majority Acquisition,"GE Healthcare|GE Medical Systems Information Technologies, Inc.|General Electric Company","Micro Medical Systems, Inc.",,GE Medical systems acquires Micro medical systems,
2/6/2002,100% Acquisition,"Signature Bioscience, Inc.","PrimeCyte, Inc.",,Signature BioScience completes acquisition Of PRIMECYTE,
9/14/2000,Majority Acquisition,Life Technologies Corporation (formerly Invitrogen Corporation),"Dexter Corporation|Life Technologies, Inc.","1,900.00 ",Invitrogen Corporation acquires Dexter and Life Technologies,
2/6/2002,100% Acquisition,Paradigm Medical Industries Inc,"Innovative Optics, Inc.",,Paradigm Medical acquires leading producer of equipment used in Refractive Procedures,
2/4/2002,100% Acquisition,"Bioenvision, Inc.","Pathagon, Inc.",,Bioenvision Completes Acquisition Of Pathagon,
9/12/2000,--,--,HLTH Corporation (formerly Emdeon Corporation)|Medical Manager Corporation,,"WebMD announces completion of Medical Manager, CareInsite transactions",
2/4/2002,100% Acquisition,"Rheologics, Inc. (formerly Visco Technologies)","Cytometrics, Inc.",,Rheologics acquires Cytometrics,
2/1/2002,100% Acquisition,Amersham PLC (formerly Nycomed Amersham PLC),AG Technology,,Amersham Biosciences acquires AG Technology,
2/1/2002,100% Acquisition,Amersham PLC (formerly Nycomed Amersham PLC),InnovaSep Technology,,Amersham Biosciences acquires InnovaSep Technology,
2/1/2002,100% Acquisition,Straumann Holding AG,Kuros Therapeutics AG,,Straumann acquires Kuros Therapeutics,
9/7/2000,Asset Purchase,"Pharmacopeia, Inc.",Oxford Molecular Group PLC - Software Subsidiaries,27.00 ,Pharmacopeia acquires software subsidiaries of Oxford Molecular Group,
9/6/2000,Asset Purchase,"Apogent Technologies, Inc. (formerly Sybron International Corp.)",Axis-Shield plc - TTP Division,2.30 ,Axis Shield PLC to Sell TTP Division to Alexon Trend for GBP1.6 Million,
1/31/2002,100% Acquisition,"Pharmaceutical Product Development, Inc.",Medical Research Laboratories International,,PPD to Acquire Medical Research Laboratories International,
1/28/2002,100% Acquisition,Sopheon Corporation,Orbital Software Holdings,,Sopheon Completes Acquisition of Orbital Software,
9/5/2000,Asset Purchase,MAQUET Cardiopulmonary AG (Formerly Jostra AG),Edwards Lifesciences Corporation - Bentley Cardio Pulmonary Division,30.00 ,German Jostra AG Completes Take Over Of Bentley Cardio Pulmonary Division,
1/18/2002,100% Acquisition,CancerVax Corporation,"Cell-Matrix, Inc.",,CancerVax Completes Cell-Matrix Acquisition,
1/16/2002,100% Acquisition,"Varian Medical Systems, Inc.","Argus Software, Inc",,Varian Medical Systems Acquires Argus Software,
1/15/2002,100% Acquisition,FMC Corporation,Pronova Biomedical AS,,FMC Corporation Announces Acquisition Of Pronova Biomedical AS,
9/5/2000,Asset Purchase,Gambro AB,Scripps Memorial La Jolla Dialysis Center - Assets,,Gambro Acquires Clinics In Southern California,
9/5/2000,Asset Purchase,Promega Corporation,"Ophidian Pharmaceuticals, Inc. - Assets",3.50 ,Promega to acquire assets of Ophidian Pharmaceuticals,
1/9/2002,100% Acquisition,GE Healthcare,Danica Biomedical A/S,,"GE Announces Acquisition of European Telemetry Provider, Danica Biomedical",
1/9/2002,100% Acquisition,Agfa-Gevaert N.V.,Mitra Inc.,,Agfa Announces Intent To Acquire Long-Time Partner Mitra,
9/1/2000,Majority Acquisition,"Health Management Associates, Inc.",Pasco Community Hospital,17.00 ,Health Management Associates acquires Pasco Community Hospital,
9/1/2000,Asset Purchase,CSL Limited,Rotkreuzstiftung Zentrallaboratorium Blutspendedienst SRK - Plasma Fractionation Assets and Business,,CSL acquires plasma fractionation assets of Rotkreuzstiftung Zentrallaboratorium Blutspendedienst,
1/8/2002,100% Acquisition,"MedSource Technologies, Inc.",HV Technologies,,MedSource Technologies Expands Interventional Offering With HV Technologies Acquisition,
9/1/2000,--,--,"Celgene Corporation|Signal Pharmaceuticals, Inc.",196.60 ,Celgene announces completion of signal merger,
1/8/2002,100% Acquisition,Curative Health Services Inc,Hemophilia Access Inc.,,Curative Health Services acquires  Hemophilia Access,
9/1/2000,Asset Purchase,Ahlstrom Paper Group Oy,Dexter Corporation - Nonwoven Materials,275.00 ,Dexter Announces Closing Of Sale Of Nonwovens Business To Ahlstrom Paper Group,
9/1/2000,Asset Purchase,LifeWatch AG (Formerly Card Guard AG),"ALARIS Medical Systems, Inc. - Instromedix Division",,Alaris Medical completes sale of its Instromedix Division to Card Guard Scientific Survival,
1/7/2002,100% Acquisition,"Xanodyne Pharmaceuticals, Inc. (formerly Xanodyne Pharmacal, Inc.)","America, LLC",,"Xanodyne Pharmacal Acquires Drug Enhancement Company of America, LLC",
8/31/2000,Majority Acquisition,"Varian, Inc.","VanKel Technology Group, Inc.",,Varian acquires VanKel Technology Group,
1/4/2002,100% Acquisition,"Navidea Biopharmaceuticals, Inc. (Formerly Neoprobe Corporation)",Biosonix Ltd.,,Neoprobe Corporation Closes Biosonix Acquisition,
1/1/2002,100% Acquisition,Gilson Inc.,"Cyberlab, Inc.",,Gilson Announces the Acquisition of Cyberlab,
8/31/2000,Asset Purchase,Orthofix International N.V.,"Kinesis Medical, Inc. - Orthotrac Pneumatic Vest Business Assets",7.30 ,Orthofix acquires all of the assets of Orthotrac Pneumatic Vest business from Kinesis Medical,
8/31/2000,Asset Purchase,Akzo Nobel N.V.,"Bayer HealthCare, LLC- Bayer Animal Health Division",,Akzo Nobel acquires Bayer HealthCare's Biologicals products business,
8/31/2000,Majority Acquisition,"Greatbatch, Inc.(formerly, Wilson Greatbatch Technologies, Inc.)","Battery Engineering, Inc.",,Greatbatch acquires Battery Engineering,
1/1/2002,100% Acquisition,"Xenon Pharmaceuticals, Inc.","RGS Genome, Inc.",,Xenon Genetics (Xenon Pharmaceuticals) acquires RGS Genome,
8/30/2000,--,--,"LJL BioSystems, Inc.|Molecular Devices Corporation",263.00 ,Molecular Devices announces the completion of its acquisition of LJL BioSystems,
12/31/2001,100% Acquisition,"Baxter International, Inc.","AUTROS Healthcare Solutions, Inc. - Assets",,Baxter International acquires assets of AUTROS Healthcare Solutions,
12/31/2001,100% Acquisition,Amexdrug Corporation,"Allied Med, Inc.",,Amexdrug acquires 100% stake in Allied Med,
12/26/2001,100% Acquisition,Canadian Medical Laboratories Limited,DC DiagnostiCare Inc.,,Canadian Medical Laboratories to purchase DC DiagnostiCare,
12/19/2001,100% Acquisition,LabVelocity Inc. (formerly Biowire.com),Biowire.com,,Labvelocity Acquires Biowire.com and Jellyfish Gene Analysis Software,
8/25/2000,Asset Purchase,"Ty Cobb Healthcare System, Inc.","Lifepoint Hospitals, Inc. - 56-bed Barrow Medical Center - Winder, GA - US",,LifePoint Hospitals Sells Barrow Medical Center,
12/19/2001,100% Acquisition,GE Healthcare,"Imatron, Inc",,GE Medical Systems completes acquisition of Imatron Inc.,
8/24/2000,Asset Purchase,Loctite Corporation,Dexter Corporation - Assets,400.00 ,"Dexter Announces Closing Of Sale Of Electronic Materials, Adhesives And Polymer Systems Businesses To Loctite Corporation",
12/19/2001,100% Acquisition,Johnson &amp; Johnson,Teramed Inc.,,Johnson & Johnson 's Cordis Acquires Teramed Inc.,
8/23/2000,Asset Purchase,"MetaMorphix, Inc.","BioStar, Inc. - Animal Health Assets",,MetaMorphix acquires animal health assets of BioStar,
8/21/2000,Asset Purchase,InfoPharm Ltd,"MediSolution, Ltd. - Assets",,MediSolution Sells Quebec Retail Pharmacy Business,
8/21/2000,Asset Purchase,"Aventis Bio-Services, Inc.","Seramed, Inc. - Assets",21.40 ,Aventis Bio-Services acquires assets of Seramed,
8/16/2000,Majority Acquisition,Stryker Corporation,"Image Guided Technologies, Inc. (formerly Pixsys, Inc.)",12.00 ,Stryker acquires Image Guided Technologies,
8/16/2000,Asset Purchase,Allegiance Corporation,Bergen Brunswig Medical Corporation,181.00 ,Allegiance acquires Bergen Brunswig Medical,
8/15/2000,--,--,Borealis Biosciences Inc.|Chalon Biotech Inc.,,Chalon Biotech and Borealis Biosciences merge to form Integrative Proteomics,
8/14/2000,Asset Purchase,NetGenics Inc.,"FamilyGenetix, Ltd. - Assets",1.00 ,NetGenics Acquires ChemSymphony And MetaSymphony From Family Genetix,
12/12/2001,100% Acquisition,Boston Scientific Corporation,RadioTherapeutics Corporation,,Boston Scientific Announces Completion Of RadioTherapeutics Acquisition,
8/11/2000,Asset Purchase,SolarWorld AG,Bayer Solar GmbH,,Bayer Sells Solar Subsidiary to SolarWorld,
8/11/2000,Asset Purchase,CML HealthCare Inc.,Boca Raton Medical Research Inc. - Assets,,CML Gaining Dominance in Central Nervous System Research Market,
8/11/2000,Asset Purchase,CML HealthCare Inc.,"Hartford Research Group, Inc. - Assets",,Canadian Medical Laboratories to acquire assets of Hartford Research Group,
8/11/2000,--,--,"Biopool International, Inc.|Xtrana, Inc.",,Biopool International merges with Xtrana,
12/6/2001,100% Acquisition,"Orchid Cellmark, Inc.",Lifecodes Corporation,,Orchid BioSciences acquires Lifecodes Corporation,
12/6/2001,100% Acquisition,"Harvard Bioscience, Inc.",ASYS Hitech GmbH,,Harvard Bioscience Announces the acquisition of ASYS Hitech GmbH,
8/9/2000,Majority Acquisition,"Marina Biotech, Inc. (Formerly MDRNA, Inc.)","Atossa Healthcare, Inc.",,Nastech Pharmaceutical acquires Atossa Healthcare,
8/8/2000,Majority Acquisition,Bausch &amp; Lomb Incorporated,Groupe Chauvin,221.00 ,Bausch & Lomb acquires Groupe Chauvin,
12/6/2001,100% Acquisition,Anthrogenesis Corporation,"Atlantic Stem Cells, Inc.",,Anthrogenesis Corp Acquires Atlantic Stem Cells,
8/4/2000,Asset Purchase,"Apogent Technologies, Inc. (formerly Sybron International Corp.)",Abbott Laboratories - Murex Bacteriology Latex Agglutination Product Line,,Sybron International acquires Abbott's Murex bacteriology latex agglutination product line,
8/4/2000,Majority Acquisition,Agricore United (formerly United Grain Growers Limited),Big Yield Fertilizer Ltd.,,UGG announces intent to acquire shares of Big Yield Fertilizer Ltd.,
8/4/2000,Asset Purchase,Syncor International Corporation,"US Diagnostic, Inc. - Medical Imaging Centers - US",,Syncor's CMI to Acquire Fourteen Medical Imaging Centers,
12/3/2001,100% Acquisition,"Soligenix, Inc. (formerly DOR BioPharma, Inc.)","Corporate Technology Development, Inc",,Endorex Corporation Acquires Corporate Technology Development,
8/3/2000,Majority Acquisition,The Procter &amp; Gamble Company,"Regeneron Pharmaceuticals, Inc.",17.10 ,Procter & Gamble acquires minority stake in Regeneron Pharmaceuticals,
12/3/2001,100% Acquisition,"Abviva, Inc.","Biomedical Diagnostics, LLC",,GBI Acquires 100% Ownership of Biomedical Diagnostics,
